id,name,status,dietary
REG-10001,Omar Castellanos,confirmed,none
REG-10002,Hiro Zielinski,confirmed,none
REG-10003,Carmen Grigoryan,confirmed,none
REG-10004,Deepak Okonkwo,confirmed,vegan
REG-10005,Vera Bergstrom,cancelled,none
REG-10006,Jonas Fontaine,confirmed,none
REG-10007,Greta Dimitrov,cancelled,none
REG-10008,Ada Wieland,confirmed,none
REG-10009,Yusuf Yamada,cancelled,none
REG-10010,Elif Ustinov,confirmed,kosher
REG-10011,Umut Kovacs,cancelled,halal
REG-10012,Keiko Okonkwo,confirmed,none
REG-10013,Elif Wieland,waitlist,none
REG-10014,Lars Tanaka,cancelled,none
REG-10015,Tamar Vasquez,confirmed,none
REG-10016,Yusuf Hashimoto,confirmed,none
REG-10017,Vera Zielinski,confirmed,none
REG-10018,Lars Jankowski,confirmed,gluten-free
REG-10019,Nadia Zielinski,confirmed,vegan
REG-10020,Greta Tanaka,cancelled,none
REG-10021,Mireille Sorensen,confirmed,none
REG-10022,Yusuf Okonkwo,waitlist,none
REG-10023,Farid Moreau,confirmed,none
REG-10024,Tamar Quispe,confirmed,kosher
REG-10025,Wendell Nakamura,confirmed,vegan
REG-10026,Jonas Dimitrov,confirmed,none
REG-10027,Jonas Vasquez,cancelled,none
REG-10028,Nadia Bergstrom,waitlist,kosher
REG-10029,Mireille Iyer,confirmed,none
REG-10030,Nadia Petrov,waitlist,none
REG-10031,Deepak Yamada,confirmed,none
REG-10032,Hiro Sorensen,confirmed,none
REG-10033,Rosa Okonkwo,cancelled,none
REG-10034,Mireille Moreau,confirmed,none
REG-10035,Jonas Tanaka,confirmed,none
REG-10036,Yusuf Petrov,confirmed,halal
REG-10037,Rosa Wieland,waitlist,none
REG-10038,Zofia Kovacs,waitlist,kosher
REG-10039,Xiomara Quispe,confirmed,none
REG-10040,Lars Castellanos,confirmed,none
REG-10041,Elif Tanaka,cancelled,none
REG-10042,Deepak Petrov,confirmed,none
REG-10043,Zofia Grigoryan,confirmed,none
REG-10044,Umut Lindqvist,waitlist,none
REG-10045,Wendell Xu,waitlist,none
REG-10046,Ines Petrov,confirmed,kosher
REG-10047,Umut Quispe,confirmed,none
REG-10048,Carmen Abbasi,confirmed,none
REG-10049,Ada Petrov,confirmed,gluten-free
REG-10050,Priya Ustinov,waitlist,none
REG-10051,Umut Zielinski,cancelled,none
REG-10052,Keiko Yamada,confirmed,none
REG-10053,Keiko Grigoryan,confirmed,halal
REG-10054,Vera Wieland,confirmed,vegan
REG-10055,Quentin Kovacs,cancelled,gluten-free
REG-10056,Rosa Eriksen,waitlist,gluten-free
REG-10057,Wendell Jankowski,confirmed,none
REG-10058,Quentin Grigoryan,confirmed,none
REG-10059,Ada Petrov,confirmed,gluten-free
REG-10060,Mireille Tanaka,confirmed,none
REG-10061,Umut Iyer,confirmed,none
REG-10062,Omar Hashimoto,confirmed,vegan
REG-10063,Bruno Vasquez,confirmed,none
REG-10064,Ada Okonkwo,cancelled,none
REG-10065,Lars Grigoryan,confirmed,none
REG-10066,Priya Quispe,cancelled,none
REG-10067,Bruno Vasquez,cancelled,vegan
REG-10068,Jonas Lindqvist,cancelled,kosher
REG-10069,Elif Xu,confirmed,none
REG-10070,Deepak Wieland,confirmed,none
REG-10071,Yusuf Zielinski,confirmed,none
REG-10072,Omar Hashimoto,confirmed,none
REG-10073,Hiro Quispe,confirmed,none
REG-10074,Rosa Jankowski,confirmed,none
REG-10075,Priya Zielinski,confirmed,none
REG-10076,Jonas Lindqvist,confirmed,gluten-free
REG-10077,Carmen Nakamura,cancelled,none
REG-10078,Lars Vasquez,cancelled,vegan
REG-10079,Umut Xu,confirmed,none
REG-10080,Greta Quispe,cancelled,none
REG-10081,Rosa Hashimoto,confirmed,none
REG-10082,Jonas Xu,confirmed,none
REG-10083,Greta Xu,confirmed,none
REG-10084,Quentin Sorensen,cancelled,none
REG-10085,Ada Abbasi,confirmed,none
REG-10086,Ines Zielinski,waitlist,gluten-free
REG-10087,Yusuf Castellanos,confirmed,none
REG-10088,Ines Bergstrom,confirmed,none
REG-10089,Omar Wieland,confirmed,kosher
REG-10090,Lars Okonkwo,confirmed,none
REG-10091,Sven Petrov,confirmed,none
REG-10092,Lars Jankowski,confirmed,none
REG-10093,Priya Moreau,confirmed,none
REG-10094,Wendell Abbasi,waitlist,vegan
REG-10095,Jonas Jankowski,confirmed,halal
REG-10096,Keiko Eriksen,confirmed,gluten-free
REG-10097,Sven Hashimoto,confirmed,none
REG-10098,Ada Yamada,confirmed,none
REG-10099,Omar Castellanos,confirmed,none
REG-10100,Farid Grigoryan,confirmed,none
REG-10101,Nadia Castellanos,confirmed,none
REG-10102,Umut Okonkwo,cancelled,none
REG-10103,Rosa Lindqvist,confirmed,none
REG-10104,Tamar Wieland,confirmed,none
REG-10105,Vera Hashimoto,waitlist,none
REG-10106,Priya Xu,confirmed,none
REG-10107,Ines Dimitrov,confirmed,vegan
REG-10108,Jonas Sorensen,waitlist,none
REG-10109,Hiro Moreau,confirmed,none
REG-10110,Tamar Ustinov,confirmed,vegan
REG-10111,Xiomara Bergstrom,confirmed,none
REG-10112,Sven Zielinski,confirmed,kosher
REG-10113,Vera Rasmussen,confirmed,none
REG-10114,Farid Hashimoto,confirmed,gluten-free
REG-10115,Hiro Vasquez,confirmed,none
REG-10116,Ines Zielinski,confirmed,none
REG-10117,Ada Yamada,cancelled,none
REG-10118,Sven Iyer,waitlist,none
REG-10119,Tamar Castellanos,cancelled,none
REG-10120,Nadia Rasmussen,waitlist,kosher
REG-10121,Umut Rasmussen,confirmed,halal
REG-10122,Ines Moreau,confirmed,none
REG-10123,Quentin Fontaine,confirmed,kosher
REG-10124,Quentin Petrov,cancelled,none
REG-10125,Mireille Bergstrom,cancelled,none
REG-10126,Hiro Kovacs,confirmed,vegan
REG-10127,Mireille Quispe,confirmed,none
REG-10128,Priya Hashimoto,confirmed,none
REG-10129,Vera Rasmussen,waitlist,none
REG-10130,Jonas Zielinski,confirmed,none
REG-10131,Umut Okonkwo,confirmed,none
REG-10132,Sven Kovacs,waitlist,none
REG-10133,Wendell Quispe,cancelled,none
REG-10134,Ada Sorensen,cancelled,none
REG-10135,Yusuf Vasquez,confirmed,none
REG-10136,Farid Iyer,confirmed,none
REG-10137,Keiko Dimitrov,cancelled,none
REG-10138,Elif Eriksen,waitlist,gluten-free
REG-10139,Rosa Fontaine,confirmed,none
REG-10140,Farid Grigoryan,confirmed,none
REG-10141,Greta Tanaka,confirmed,none
REG-10142,Carmen Nakamura,confirmed,none
REG-10143,Yusuf Abbasi,waitlist,none
REG-10144,Hiro Vasquez,confirmed,none
REG-10145,Zofia Eriksen,waitlist,none
REG-10146,Quentin Xu,confirmed,vegan
REG-10147,Tamar Nakamura,cancelled,none
REG-10148,Carmen Petrov,confirmed,vegan
REG-10149,Wendell Wieland,cancelled,none
REG-10150,Wendell Rasmussen,confirmed,halal
REG-10151,Xiomara Jankowski,confirmed,none
REG-10152,Nadia Abbasi,confirmed,none
REG-10153,Mireille Bergstrom,confirmed,none
REG-10154,Nadia Sorensen,waitlist,none
REG-10155,Sven Sorensen,waitlist,halal
REG-10156,Rosa Yamada,confirmed,none
REG-10157,Rosa Jankowski,waitlist,none
REG-10158,Ada Zielinski,waitlist,none
REG-10159,Yusuf Iyer,confirmed,halal
REG-10160,Rosa Abbasi,confirmed,none
REG-10161,Yusuf Nakamura,cancelled,none
REG-10162,Keiko Nakamura,confirmed,none
REG-10163,Priya Wieland,waitlist,none
REG-10164,Nadia Moreau,waitlist,halal
REG-10165,Jonas Dimitrov,confirmed,none
REG-10166,Mireille Quispe,waitlist,none
REG-10167,Mireille Iyer,confirmed,none
REG-10168,Jonas Okonkwo,confirmed,none
REG-10169,Quentin Kovacs,confirmed,vegetarian
REG-10170,Greta Dimitrov,waitlist,vegan
REG-10171,Nadia Eriksen,confirmed,none
REG-10172,Xiomara Iyer,confirmed,none
REG-10173,Lars Bergstrom,confirmed,none
REG-10174,Lars Bergstrom,confirmed,none
REG-10175,Rosa Jankowski,cancelled,none
REG-10176,Yusuf Eriksen,confirmed,none
REG-10177,Farid Ustinov,confirmed,gluten-free
REG-10178,Rosa Sorensen,confirmed,gluten-free
REG-10179,Xiomara Xu,confirmed,kosher
REG-10180,Lars Eriksen,cancelled,none
REG-10181,Keiko Petrov,confirmed,gluten-free
REG-10182,Elif Abbasi,confirmed,none
REG-10183,Lars Lindqvist,waitlist,none
REG-10184,Bruno Grigoryan,waitlist,kosher
REG-10185,Ada Hashimoto,confirmed,none
REG-10186,Rosa Castellanos,confirmed,none
REG-10187,Bruno Iyer,confirmed,none
REG-10188,Quentin Bergstrom,waitlist,none
REG-10189,Deepak Bergstrom,cancelled,none
REG-10190,Keiko Yamada,confirmed,none
REG-10191,Mireille Fontaine,cancelled,none
REG-10192,Xiomara Abbasi,confirmed,none
REG-10193,Nadia Fontaine,confirmed,none
REG-10194,Mireille Rasmussen,confirmed,none
REG-10195,Mireille Sorensen,confirmed,none
REG-10196,Ada Lindqvist,confirmed,gluten-free
REG-10197,Sven Grigoryan,waitlist,none
REG-10198,Ines Moreau,confirmed,none
REG-10199,Elif Quispe,confirmed,vegetarian
REG-10200,Lars Moreau,waitlist,gluten-free
REG-10201,Yusuf Kovacs,cancelled,none
REG-10202,Zofia Tanaka,confirmed,vegetarian
REG-10203,Zofia Sorensen,waitlist,halal
REG-10204,Sven Nakamura,waitlist,vegan
REG-10205,Deepak Castellanos,confirmed,vegan
REG-10206,Ines Xu,cancelled,vegetarian
REG-10207,Carmen Moreau,confirmed,halal
REG-10208,Xiomara Ustinov,confirmed,none
REG-10209,Ada Eriksen,waitlist,none
REG-10210,Greta Ustinov,confirmed,none
REG-10211,Umut Tanaka,confirmed,none
REG-10212,Mireille Nakamura,confirmed,vegetarian
REG-10213,Rosa Nakamura,confirmed,none
REG-10214,Mireille Petrov,confirmed,vegetarian
REG-10215,Nadia Lindqvist,confirmed,none
REG-10216,Farid Rasmussen,confirmed,none
REG-10217,Nadia Wieland,cancelled,none
REG-10218,Umut Rasmussen,cancelled,vegan
REG-10219,Farid Wieland,confirmed,none
REG-10220,Rosa Sorensen,waitlist,none
REG-10221,Farid Petrov,confirmed,none
REG-10222,Ines Castellanos,waitlist,none
REG-10223,Deepak Sorensen,cancelled,none
REG-10224,Tamar Zielinski,confirmed,none
REG-10225,Ada Sorensen,waitlist,vegetarian
REG-10226,Vera Abbasi,cancelled,none
REG-10227,Greta Okonkwo,waitlist,none
REG-10228,Lars Fontaine,confirmed,none
REG-10229,Rosa Eriksen,confirmed,gluten-free
REG-10230,Deepak Abbasi,waitlist,kosher
REG-10231,Elif Wieland,confirmed,none
REG-10232,Greta Jankowski,cancelled,vegan
REG-10233,Jonas Kovacs,confirmed,none
REG-10234,Nadia Iyer,confirmed,none
REG-10235,Farid Iyer,confirmed,none
REG-10236,Sven Kovacs,cancelled,none
REG-10237,Mireille Lindqvist,confirmed,none
REG-10238,Elif Okonkwo,confirmed,none
REG-10239,Yusuf Dimitrov,confirmed,none
REG-10240,Yusuf Ustinov,confirmed,none
REG-10241,Umut Wieland,confirmed,kosher
REG-10242,Yusuf Abbasi,cancelled,none
REG-10243,Ada Tanaka,confirmed,gluten-free
REG-10244,Umut Ustinov,waitlist,none
REG-10245,Hiro Iyer,waitlist,none
REG-10246,Mireille Petrov,confirmed,none
REG-10247,Quentin Wieland,cancelled,none
REG-10248,Umut Eriksen,confirmed,none
REG-10249,Farid Jankowski,cancelled,kosher
REG-10250,Greta Dimitrov,confirmed,none
REG-10251,Zofia Sorensen,waitlist,none
REG-10252,Nadia Kovacs,confirmed,none
REG-10253,Mireille Fontaine,confirmed,none
REG-10254,Xiomara Eriksen,cancelled,none
REG-10255,Ines Vasquez,waitlist,vegan
REG-10256,Greta Grigoryan,cancelled,none
REG-10257,Hiro Xu,cancelled,halal
REG-10258,Mireille Lindqvist,confirmed,none
REG-10259,Umut Yamada,confirmed,none
REG-10260,Ines Bergstrom,waitlist,none
REG-10261,Farid Sorensen,confirmed,none
REG-10262,Nadia Nakamura,cancelled,kosher
REG-10263,Ada Rasmussen,waitlist,none
REG-10264,Priya Grigoryan,cancelled,halal
REG-10265,Sven Grigoryan,waitlist,none
REG-10266,Rosa Castellanos,confirmed,gluten-free
REG-10267,Rosa Bergstrom,waitlist,none
REG-10268,Quentin Kovacs,confirmed,none
REG-10269,Omar Petrov,confirmed,vegan
REG-10270,Hiro Xu,confirmed,none
REG-10271,Wendell Fontaine,confirmed,gluten-free
REG-10272,Priya Eriksen,confirmed,none
REG-10273,Yusuf Castellanos,waitlist,none
REG-10274,Tamar Grigoryan,cancelled,none
REG-10275,Jonas Iyer,confirmed,none
REG-10276,Wendell Abbasi,confirmed,none
REG-10277,Deepak Wieland,cancelled,none
REG-10278,Wendell Wieland,confirmed,none
REG-10279,Keiko Iyer,confirmed,none
REG-10280,Deepak Kovacs,confirmed,vegetarian
REG-10281,Zofia Jankowski,confirmed,kosher
REG-10282,Keiko Tanaka,confirmed,none
