id,name,status,dietary
REG-12384,Quentin Ustinov,waitlist,gluten-free
REG-12385,Priya Yamada,confirmed,none
REG-12386,Carmen Rasmussen,cancelled,vegetarian
REG-12387,Rosa Jankowski,confirmed,none
REG-12388,Hiro Moreau,waitlist,none
REG-12389,Farid Rasmussen,confirmed,vegetarian
REG-12390,Lars Wieland,confirmed,none
REG-12391,Bruno Wieland,waitlist,none
REG-12392,Jonas Eriksen,confirmed,none
REG-12393,Hiro Nakamura,confirmed,none
REG-12394,Wendell Yamada,confirmed,none
REG-12395,Sven Eriksen,waitlist,vegetarian
REG-12396,Carmen Nakamura,confirmed,none
REG-12397,Quentin Castellanos,cancelled,gluten-free
REG-12398,Sven Grigoryan,confirmed,vegetarian
REG-12399,Nadia Ustinov,confirmed,none
REG-12400,Ada Dimitrov,confirmed,none
REG-12401,Ada Eriksen,confirmed,vegan
REG-12402,Lars Jankowski,confirmed,none
REG-12403,Deepak Nakamura,confirmed,vegetarian
REG-12404,Lars Bergstrom,waitlist,none
REG-12405,Jonas Quispe,waitlist,none
REG-12406,Elif Lindqvist,confirmed,vegetarian
REG-12407,Farid Nakamura,cancelled,gluten-free
REG-12408,Umut Jankowski,confirmed,gluten-free
REG-12409,Elif Quispe,confirmed,none
REG-12410,Quentin Dimitrov,cancelled,vegetarian
REG-12411,Jonas Bergstrom,confirmed,none
REG-12412,Xiomara Hashimoto,waitlist,none
REG-12413,Tamar Sorensen,waitlist,kosher
REG-12414,Omar Xu,confirmed,kosher
REG-12415,Lars Bergstrom,confirmed,halal
REG-12416,Umut Bergstrom,cancelled,kosher
REG-12417,Lars Quispe,confirmed,none
REG-12418,Deepak Bergstrom,confirmed,none
REG-12419,Greta Iyer,confirmed,halal
REG-12420,Elif Vasquez,confirmed,gluten-free
REG-12421,Carmen Wieland,confirmed,vegetarian
REG-12422,Tamar Dimitrov,confirmed,none
REG-12423,Mireille Castellanos,confirmed,none
REG-12424,Deepak Tanaka,waitlist,none
REG-12425,Rosa Lindqvist,confirmed,none
REG-12426,Tamar Castellanos,confirmed,none
REG-12427,Keiko Yamada,confirmed,kosher
REG-12428,Ada Wieland,confirmed,halal
REG-12429,Jonas Tanaka,confirmed,vegetarian
REG-12430,Umut Grigoryan,confirmed,none
REG-12431,Umut Sorensen,confirmed,none
REG-12432,Rosa Wieland,confirmed,none
REG-12433,Ada Lindqvist,confirmed,kosher
REG-12434,Yusuf Moreau,confirmed,none
REG-12435,Keiko Iyer,waitlist,none
REG-12436,Carmen Castellanos,waitlist,gluten-free
REG-12437,Sven Grigoryan,waitlist,none
REG-12438,Bruno Abbasi,confirmed,none
REG-12439,Wendell Tanaka,waitlist,none
REG-12440,Keiko Rasmussen,confirmed,none
REG-12441,Zofia Ustinov,confirmed,none
REG-12442,Farid Lindqvist,confirmed,none
REG-12443,Umut Zielinski,confirmed,vegetarian
REG-12444,Quentin Abbasi,confirmed,none
REG-12445,Greta Jankowski,confirmed,none
REG-12446,Ada Jankowski,cancelled,vegetarian
REG-12447,Greta Lindqvist,confirmed,none
REG-12448,Bruno Jankowski,waitlist,none
REG-12449,Yusuf Vasquez,confirmed,none
REG-12450,Keiko Sorensen,confirmed,none
REG-12451,Vera Okonkwo,confirmed,none
REG-12452,Wendell Tanaka,confirmed,halal
REG-12453,Yusuf Bergstrom,confirmed,none
REG-12454,Priya Petrov,confirmed,none
REG-12455,Hiro Okonkwo,waitlist,none
REG-12456,Sven Bergstrom,confirmed,none
REG-12457,Umut Iyer,confirmed,gluten-free
REG-12458,Mireille Okonkwo,confirmed,halal
REG-12459,Ines Sorensen,confirmed,kosher
REG-12460,Yusuf Tanaka,confirmed,none
REG-12461,Vera Kovacs,waitlist,none
REG-12462,Ada Wieland,confirmed,none
REG-12463,Zofia Iyer,confirmed,none
REG-12464,Farid Castellanos,cancelled,none
REG-12465,Rosa Tanaka,confirmed,none
REG-12466,Keiko Wieland,confirmed,none
REG-12467,Hiro Rasmussen,confirmed,none
REG-12468,Omar Lindqvist,confirmed,none
REG-12469,Rosa Grigoryan,confirmed,none
REG-12470,Sven Rasmussen,confirmed,none
REG-12471,Keiko Hashimoto,waitlist,none
REG-12472,Zofia Jankowski,confirmed,none
REG-12473,Priya Rasmussen,cancelled,none
REG-12474,Omar Jankowski,waitlist,none
REG-12475,Bruno Wieland,waitlist,gluten-free
REG-12476,Quentin Iyer,confirmed,none
REG-12477,Farid Lindqvist,cancelled,none
REG-12478,Priya Dimitrov,confirmed,vegetarian
REG-12479,Ada Zielinski,waitlist,none
REG-12480,Farid Yamada,confirmed,none
REG-12481,Omar Zielinski,confirmed,none
REG-12482,Xiomara Bergstrom,waitlist,none
REG-12483,Lars Vasquez,confirmed,none
REG-12484,Farid Abbasi,cancelled,none
REG-12485,Yusuf Zielinski,confirmed,none
REG-12486,Priya Wieland,confirmed,kosher
REG-12487,Nadia Zielinski,waitlist,vegetarian
REG-12488,Mireille Okonkwo,confirmed,vegetarian
REG-12489,Quentin Rasmussen,waitlist,none
REG-12490,Yusuf Jankowski,waitlist,none
REG-12491,Farid Abbasi,confirmed,vegetarian
REG-12492,Elif Castellanos,confirmed,none
REG-12493,Elif Fontaine,confirmed,kosher
REG-12494,Carmen Yamada,confirmed,kosher
REG-12495,Lars Moreau,confirmed,none
REG-12496,Mireille Petrov,confirmed,vegan
REG-12497,Zofia Abbasi,confirmed,none
REG-12498,Elif Lindqvist,waitlist,none
REG-12499,Lars Quispe,confirmed,none
REG-12500,Greta Vasquez,waitlist,kosher
REG-12501,Jonas Castellanos,cancelled,none
REG-12502,Carmen Iyer,confirmed,none
REG-12503,Bruno Nakamura,confirmed,none
REG-12504,Sven Moreau,confirmed,none
REG-12505,Bruno Grigoryan,waitlist,kosher
REG-12506,Hiro Castellanos,confirmed,none
REG-12507,Lars Kovacs,confirmed,none
REG-12508,Priya Vasquez,confirmed,none
REG-12509,Hiro Eriksen,confirmed,none
REG-12510,Xiomara Tanaka,confirmed,vegetarian
REG-12511,Mireille Zielinski,confirmed,none
REG-12512,Greta Rasmussen,confirmed,none
REG-12513,Priya Vasquez,waitlist,none
REG-12514,Omar Lindqvist,confirmed,none
REG-12515,Ada Bergstrom,confirmed,none
REG-12516,Mireille Wieland,confirmed,none
REG-12517,Deepak Iyer,confirmed,none
REG-12518,Yusuf Petrov,cancelled,none
REG-12519,Nadia Kovacs,confirmed,gluten-free
REG-12520,Greta Castellanos,confirmed,none
REG-12521,Nadia Nakamura,confirmed,none
REG-12522,Vera Nakamura,confirmed,vegan
REG-12523,Vera Eriksen,confirmed,gluten-free
REG-12524,Keiko Okonkwo,confirmed,halal
REG-12525,Mireille Ustinov,waitlist,none
REG-12526,Carmen Vasquez,confirmed,vegan
REG-12527,Bruno Hashimoto,waitlist,none
REG-12528,Farid Eriksen,confirmed,none
REG-12529,Wendell Vasquez,confirmed,none
REG-12530,Hiro Okonkwo,waitlist,none
REG-12531,Rosa Yamada,confirmed,none
REG-12532,Bruno Zielinski,confirmed,none
REG-12533,Deepak Fontaine,confirmed,none
REG-12534,Lars Sorensen,confirmed,none
REG-12535,Jonas Fontaine,confirmed,none
REG-12536,Yusuf Tanaka,confirmed,gluten-free
REG-12537,Xiomara Quispe,confirmed,none
REG-12538,Elif Lindqvist,confirmed,none
REG-12539,Sven Quispe,confirmed,none
REG-12540,Greta Xu,confirmed,vegan
REG-12541,Wendell Iyer,waitlist,gluten-free
REG-12542,Quentin Lindqvist,confirmed,none
REG-12543,Hiro Tanaka,confirmed,halal
REG-12544,Nadia Rasmussen,confirmed,none
REG-12545,Farid Abbasi,confirmed,none
REG-12546,Xiomara Xu,confirmed,halal
REG-12547,Lars Grigoryan,confirmed,kosher
REG-12548,Bruno Tanaka,confirmed,none
REG-12549,Bruno Moreau,cancelled,none
REG-12550,Vera Ustinov,waitlist,vegetarian
REG-12551,Rosa Ustinov,confirmed,none
REG-12552,Nadia Tanaka,confirmed,gluten-free
REG-12553,Carmen Quispe,waitlist,none
REG-12554,Nadia Eriksen,confirmed,vegan
REG-12555,Sven Nakamura,confirmed,none
REG-12556,Rosa Kovacs,confirmed,none
