id,name,status,dietary
REG-14742,Keiko Petrov,confirmed,none
REG-14743,Umut Lindqvist,waitlist,halal
REG-14744,Deepak Okonkwo,confirmed,none
REG-14745,Quentin Castellanos,cancelled,none
REG-14746,Tamar Moreau,confirmed,none
REG-14747,Sven Abbasi,cancelled,none
REG-14748,Quentin Okonkwo,confirmed,none
REG-14749,Yusuf Kovacs,confirmed,halal
REG-14750,Sven Lindqvist,confirmed,none
REG-14751,Ada Eriksen,confirmed,none
REG-14752,Hiro Zielinski,confirmed,none
REG-14753,Omar Bergstrom,confirmed,none
REG-14754,Quentin Ustinov,confirmed,vegan
REG-14755,Tamar Castellanos,confirmed,none
REG-14756,Keiko Yamada,confirmed,none
REG-14757,Carmen Hashimoto,confirmed,gluten-free
REG-14758,Farid Jankowski,confirmed,none
REG-14759,Ines Dimitrov,confirmed,none
REG-14760,Umut Jankowski,cancelled,none
REG-14761,Ada Iyer,cancelled,kosher
REG-14762,Bruno Kovacs,confirmed,none
REG-14763,Jonas Yamada,cancelled,vegetarian
REG-14764,Umut Kovacs,confirmed,none
REG-14765,Deepak Moreau,waitlist,vegan
REG-14766,Omar Grigoryan,waitlist,none
REG-14767,Nadia Ustinov,confirmed,kosher
REG-14768,Ines Dimitrov,confirmed,none
REG-14769,Zofia Wieland,waitlist,none
REG-14770,Bruno Kovacs,waitlist,vegan
REG-14771,Rosa Rasmussen,waitlist,none
REG-14772,Jonas Hashimoto,waitlist,none
REG-14773,Jonas Moreau,confirmed,none
REG-14774,Deepak Tanaka,cancelled,none
REG-14775,Jonas Abbasi,confirmed,gluten-free
REG-14776,Zofia Bergstrom,confirmed,none
REG-14777,Ada Lindqvist,cancelled,halal
REG-14778,Farid Rasmussen,confirmed,none
REG-14779,Bruno Abbasi,confirmed,none
REG-14780,Vera Zielinski,waitlist,vegan
REG-14781,Deepak Quispe,waitlist,kosher
REG-14782,Tamar Nakamura,confirmed,none
REG-14783,Umut Vasquez,waitlist,vegan
REG-14784,Jonas Iyer,waitlist,none
REG-14785,Yusuf Wieland,confirmed,halal
REG-14786,Rosa Dimitrov,cancelled,gluten-free
REG-14787,Elif Tanaka,confirmed,none
REG-14788,Deepak Quispe,waitlist,halal
REG-14789,Farid Quispe,confirmed,none
REG-14790,Mireille Jankowski,confirmed,halal
REG-14791,Keiko Zielinski,confirmed,none
REG-14792,Deepak Dimitrov,confirmed,none
REG-14793,Rosa Tanaka,confirmed,none
REG-14794,Carmen Grigoryan,cancelled,none
REG-14795,Vera Jankowski,waitlist,none
REG-14796,Jonas Nakamura,cancelled,none
REG-14797,Nadia Yamada,confirmed,none
REG-14798,Priya Rasmussen,confirmed,none
REG-14799,Sven Sorensen,confirmed,none
REG-14800,Ines Bergstrom,confirmed,none
REG-14801,Vera Bergstrom,cancelled,none
REG-14802,Omar Quispe,confirmed,vegan
REG-14803,Xiomara Quispe,waitlist,vegan
REG-14804,Omar Tanaka,cancelled,halal
REG-14805,Hiro Yamada,waitlist,none
REG-14806,Ines Vasquez,cancelled,none
REG-14807,Farid Ustinov,cancelled,none
REG-14808,Omar Lindqvist,waitlist,vegetarian
REG-14809,Farid Tanaka,cancelled,none
REG-14810,Quentin Petrov,confirmed,kosher
REG-14811,Vera Quispe,confirmed,none
REG-14812,Vera Iyer,waitlist,none
REG-14813,Farid Grigoryan,confirmed,none
REG-14814,Elif Vasquez,confirmed,none
REG-14815,Keiko Hashimoto,confirmed,none
REG-14816,Deepak Rasmussen,confirmed,none
REG-14817,Keiko Moreau,cancelled,none
REG-14818,Farid Abbasi,confirmed,vegan
REG-14819,Quentin Petrov,confirmed,none
REG-14820,Zofia Dimitrov,waitlist,none
REG-14821,Tamar Quispe,confirmed,none
REG-14822,Farid Kovacs,confirmed,halal
