id,name,status,dietary
REG-11184,Tamar Bergstrom,confirmed,none
REG-11185,Zofia Quispe,confirmed,none
REG-11186,Ada Petrov,confirmed,none
REG-11187,Carmen Hashimoto,confirmed,none
REG-11188,Priya Abbasi,confirmed,none
REG-11189,Sven Rasmussen,confirmed,halal
REG-11190,Rosa Yamada,confirmed,none
REG-11191,Carmen Ustinov,confirmed,none
REG-11192,Sven Castellanos,cancelled,none
REG-11193,Wendell Kovacs,confirmed,vegetarian
REG-11194,Mireille Grigoryan,confirmed,none
REG-11195,Jonas Sorensen,confirmed,none
REG-11196,Omar Yamada,cancelled,gluten-free
REG-11197,Nadia Fontaine,confirmed,vegetarian
REG-11198,Zofia Castellanos,confirmed,none
REG-11199,Quentin Iyer,cancelled,none
REG-11200,Ines Xu,confirmed,none
REG-11201,Lars Vasquez,confirmed,kosher
REG-11202,Elif Rasmussen,confirmed,none
REG-11203,Elif Fontaine,waitlist,none
REG-11204,Nadia Vasquez,confirmed,none
REG-11205,Carmen Fontaine,cancelled,none
REG-11206,Mireille Bergstrom,confirmed,none
REG-11207,Umut Abbasi,confirmed,none
REG-11208,Omar Ustinov,confirmed,vegan
REG-11209,Wendell Hashimoto,confirmed,none
REG-11210,Omar Quispe,confirmed,none
REG-11211,Zofia Okonkwo,waitlist,vegan
REG-11212,Sven Moreau,confirmed,halal
REG-11213,Greta Moreau,confirmed,none
REG-11214,Deepak Yamada,cancelled,none
REG-11215,Deepak Nakamura,confirmed,none
REG-11216,Tamar Zielinski,confirmed,none
REG-11217,Carmen Zielinski,confirmed,vegetarian
REG-11218,Farid Petrov,confirmed,vegan
REG-11219,Ines Iyer,confirmed,none
REG-11220,Sven Iyer,cancelled,kosher
REG-11221,Ada Bergstrom,confirmed,none
REG-11222,Priya Nakamura,waitlist,none
REG-11223,Elif Nakamura,confirmed,none
REG-11224,Sven Quispe,waitlist,none
REG-11225,Jonas Xu,confirmed,none
REG-11226,Ines Nakamura,waitlist,none
REG-11227,Xiomara Kovacs,confirmed,none
REG-11228,Farid Tanaka,confirmed,kosher
REG-11229,Keiko Zielinski,confirmed,gluten-free
REG-11230,Quentin Okonkwo,confirmed,none
REG-11231,Jonas Xu,confirmed,none
REG-11232,Xiomara Vasquez,confirmed,vegetarian
REG-11233,Nadia Eriksen,waitlist,none
REG-11234,Priya Nakamura,confirmed,none
REG-11235,Wendell Grigoryan,confirmed,none
REG-11236,Priya Lindqvist,cancelled,none
REG-11237,Yusuf Wieland,confirmed,vegetarian
REG-11238,Ada Moreau,cancelled,none
REG-11239,Nadia Grigoryan,waitlist,vegan
REG-11240,Mireille Zielinski,cancelled,none
REG-11241,Wendell Iyer,confirmed,gluten-free
REG-11242,Tamar Abbasi,cancelled,none
REG-11243,Ada Hashimoto,cancelled,none
REG-11244,Tamar Abbasi,cancelled,kosher
REG-11245,Umut Zielinski,waitlist,none
REG-11246,Elif Ustinov,cancelled,none
REG-11247,Jonas Abbasi,cancelled,none
REG-11248,Nadia Castellanos,confirmed,vegetarian
REG-11249,Keiko Lindqvist,confirmed,none
REG-11250,Deepak Moreau,confirmed,none
REG-11251,Priya Hashimoto,confirmed,vegetarian
REG-11252,Farid Okonkwo,cancelled,vegan
REG-11253,Greta Ustinov,waitlist,none
REG-11254,Priya Kovacs,confirmed,none
REG-11255,Jonas Yamada,waitlist,none
REG-11256,Ada Abbasi,confirmed,none
REG-11257,Hiro Nakamura,waitlist,none
REG-11258,Priya Tanaka,confirmed,none
REG-11259,Farid Grigoryan,confirmed,none
REG-11260,Zofia Petrov,waitlist,none
REG-11261,Rosa Eriksen,confirmed,none
REG-11262,Farid Fontaine,confirmed,none
REG-11263,Quentin Jankowski,confirmed,none
REG-11264,Mireille Wieland,confirmed,none
REG-11265,Sven Dimitrov,confirmed,none
REG-11266,Rosa Nakamura,confirmed,none
REG-11267,Xiomara Lindqvist,cancelled,vegan
REG-11268,Elif Zielinski,confirmed,none
REG-11269,Zofia Kovacs,waitlist,none
REG-11270,Yusuf Quispe,confirmed,none
REG-11271,Lars Eriksen,waitlist,vegetarian
REG-11272,Farid Petrov,cancelled,none
REG-11273,Greta Tanaka,cancelled,gluten-free
REG-11274,Quentin Kovacs,confirmed,none
REG-11275,Greta Rasmussen,confirmed,none
REG-11276,Umut Rasmussen,confirmed,gluten-free
REG-11277,Deepak Rasmussen,confirmed,none
REG-11278,Sven Ustinov,waitlist,none
REG-11279,Mireille Lindqvist,confirmed,none
REG-11280,Xiomara Tanaka,waitlist,halal
REG-11281,Ada Iyer,waitlist,none
REG-11282,Yusuf Petrov,confirmed,none
REG-11283,Sven Vasquez,waitlist,none
REG-11284,Tamar Iyer,waitlist,vegan
REG-11285,Xiomara Dimitrov,confirmed,vegan
REG-11286,Jonas Okonkwo,confirmed,none
REG-11287,Sven Jankowski,confirmed,kosher
REG-11288,Tamar Hashimoto,confirmed,vegan
REG-11289,Greta Iyer,cancelled,none
REG-11290,Farid Nakamura,confirmed,halal
REG-11291,Wendell Xu,confirmed,none
REG-11292,Carmen Lindqvist,confirmed,none
REG-11293,Umut Lindqvist,confirmed,halal
REG-11294,Carmen Xu,confirmed,none
REG-11295,Zofia Eriksen,confirmed,vegan
REG-11296,Ines Moreau,cancelled,none
REG-11297,Sven Jankowski,confirmed,none
REG-11298,Umut Bergstrom,waitlist,halal
REG-11299,Umut Fontaine,confirmed,none
REG-11300,Priya Sorensen,confirmed,none
REG-11301,Zofia Xu,confirmed,none
REG-11302,Ines Petrov,confirmed,none
REG-11303,Jonas Lindqvist,confirmed,vegan
REG-11304,Omar Nakamura,confirmed,gluten-free
REG-11305,Wendell Yamada,cancelled,none
REG-11306,Umut Xu,confirmed,none
REG-11307,Carmen Tanaka,waitlist,kosher
REG-11308,Nadia Grigoryan,confirmed,vegetarian
REG-11309,Yusuf Kovacs,confirmed,kosher
REG-11310,Vera Iyer,confirmed,kosher
REG-11311,Vera Hashimoto,confirmed,vegetarian
REG-11312,Bruno Zielinski,waitlist,none
REG-11313,Xiomara Sorensen,confirmed,vegan
REG-11314,Carmen Tanaka,confirmed,gluten-free
REG-11315,Deepak Abbasi,waitlist,halal
REG-11316,Zofia Moreau,cancelled,none
REG-11317,Hiro Zielinski,confirmed,none
REG-11318,Deepak Moreau,waitlist,none
REG-11319,Priya Dimitrov,confirmed,none
REG-11320,Lars Okonkwo,cancelled,none
REG-11321,Tamar Xu,confirmed,vegan
REG-11322,Priya Okonkwo,cancelled,gluten-free
REG-11323,Deepak Wieland,confirmed,none
